iter	Logloss
0	0.6502946511
1	0.611210244
2	0.5836226297
3	0.5612035784
4	0.5389863959
5	0.5202489332
6	0.5049889364
7	0.4922451163
8	0.4831738525
9	0.4755243119
10	0.4689802375
11	0.4611295925
12	0.4544315983
13	0.4490198954
14	0.4447804335
15	0.4416981733
16	0.4389269816
17	0.4347211822
18	0.4331701629
19	0.4304828214
20	0.4284346893
21	0.4252403598
22	0.4231321304
23	0.4219092249
24	0.4208318987
25	0.4195655179
26	0.4179156978
27	0.4167688027
28	0.4159047609
29	0.4151373738
30	0.4141851603
31	0.4128925484
32	0.4122562577
33	0.4113453868
34	0.4102111978
35	0.4096352514
36	0.4087690492
37	0.4078981463
38	0.406060395
39	0.4049394413
40	0.4041893637
41	0.4035835117
42	0.4031676412
43	0.4024882337
44	0.4020882306
45	0.4016880743
46	0.4011974139
47	0.4005481119
48	0.3999759677
49	0.3996142121
50	0.3993697438
51	0.3990653777
52	0.3985561361
53	0.3980425538
54	0.3976278543
55	0.3973740592
56	0.3969917818
57	0.3967385564
58	0.3964250057
59	0.3958576506
60	0.3955043198
61	0.3942440646
62	0.3936179907
63	0.3933711898
64	0.3931094553
65	0.3927152361
66	0.3924704835
67	0.3912720541
68	0.390689642
69	0.3904140949
70	0.3901675433
71	0.3892581805
72	0.3881681274
73	0.3879016573
74	0.3876672658
75	0.387494162
76	0.3872275886
77	0.3869519433
78	0.3861399489
79	0.3859518546
80	0.3857328949
81	0.3855558547
82	0.3853269308
83	0.3850582753
84	0.3848578948
85	0.3844950157
86	0.384325305
87	0.3839843471
88	0.3837735497
89	0.3833123286
90	0.3824340494
91	0.3822946195
92	0.3820167321
93	0.3818073945
94	0.3816510258
95	0.381489466
96	0.381290818
97	0.3811519788
98	0.380924557
99	0.3803531188
100	0.3801826404
101	0.3800201243
102	0.3798762303
103	0.3795694594
104	0.3791323003
105	0.3789252623
106	0.3787817126
107	0.3786070636
108	0.3784182329
109	0.3782281483
110	0.3781300733
111	0.3777791557
112	0.3775979237
113	0.3774220706
114	0.3771639524
115	0.3769410671
116	0.3768057594
117	0.376592566
118	0.3762502965
119	0.3760595833
120	0.3758105011
121	0.3756444059
122	0.3755134263
123	0.3753233633
124	0.3750123202
125	0.3748268318
126	0.3742855131
127	0.3741886838
128	0.3739862521
129	0.3738482461
130	0.3735904269
131	0.3734509963
132	0.3732916196
133	0.3730495554
134	0.3726199726
135	0.3724290348
136	0.3722905431
137	0.3722005366
138	0.3720401579
139	0.3717924983
140	0.3716476123
141	0.3715097113
142	0.3713176017
143	0.3712438586
144	0.3710809754
145	0.3708734895
146	0.3706764857
147	0.3705539066
148	0.3703687504
149	0.3701935103
150	0.3700730799
151	0.3699776326
152	0.369835119
153	0.3697235991
154	0.3693602742
155	0.3691409259
156	0.3690304226
157	0.368873431
158	0.3687486796
159	0.3686419137
160	0.3684312642
161	0.3683197615
162	0.3681617009
163	0.3680344546
164	0.3678895507
165	0.3677627962
166	0.3676123367
167	0.3674619162
168	0.3672137319
169	0.3670623533
170	0.3669135109
171	0.3668091233
172	0.3666406117
173	0.3665520434
174	0.3663857762
175	0.3662349295
176	0.3660610384
177	0.3659661094
178	0.3658738661
179	0.3657053863
180	0.3655761513
181	0.365445992
182	0.3653346335
183	0.3651741937
184	0.3650342551
185	0.3648444609
186	0.3647474385
187	0.36462497
188	0.3645089208
189	0.364390567
190	0.3642635167
191	0.3641530341
192	0.364038993
193	0.3638784103
194	0.3637015009
195	0.3635770411
196	0.3634425854
197	0.363273829
198	0.363148182
199	0.363044195
200	0.362892617
201	0.3627486432
202	0.3626188328
203	0.3625078624
204	0.3623160672
205	0.3621778756
206	0.3619541948
207	0.3618543342
208	0.3617301368
209	0.361563222
210	0.3613921519
211	0.3612084621
212	0.3610985307
213	0.3609837899
214	0.360832124
215	0.3607153814
216	0.3605687057
217	0.360469343
218	0.3602871407
219	0.3601014394
220	0.359962904
221	0.3598691367
222	0.3596990572
223	0.3595587033
224	0.3590528702
225	0.3589260969
226	0.358737088
227	0.3586012234
228	0.3583242602
229	0.3581780817
230	0.3580443967
231	0.357916788
232	0.3577971673
233	0.3577286649
234	0.3575890195
235	0.3574104013
236	0.3572807819
237	0.3571264568
238	0.3569935542
239	0.3569136072
240	0.356793692
241	0.3566890675
242	0.3565946459
243	0.3564320279
244	0.356339292
245	0.3561462223
246	0.3560170557
247	0.3558775889
248	0.355751972
249	0.3556226175
250	0.3554849391
251	0.3553603535
252	0.3552548097
253	0.3551182266
254	0.3550126056
255	0.3548564689
256	0.3546689131
257	0.3545226938
258	0.3544123653
259	0.3542925843
260	0.3541692266
261	0.3540344176
262	0.3539119387
263	0.3537983418
264	0.3536967751
265	0.3534898146
266	0.3534073972
267	0.3532420637
268	0.3531575809
269	0.3530711673
270	0.3525685542
271	0.3524266806
272	0.3522637449
273	0.3521183108
274	0.3517870904
275	0.3514631609
276	0.3513625242
277	0.3509506529
278	0.3508490292
279	0.3506981696
280	0.3505882783
281	0.3504380865
282	0.3503253987
283	0.3501356517
284	0.3499899477
285	0.3498402392
286	0.3497130817
287	0.3495616952
288	0.3494540915
289	0.3493372204
290	0.3491649146
291	0.3490118174
292	0.3487810838
293	0.3486390713
294	0.3485137562
295	0.3483789205
296	0.3482445491
297	0.3481252165
298	0.3478679323
299	0.3477007891
300	0.34742904
301	0.3472655921
302	0.3471983972
303	0.346968386
304	0.3468623365
