iter	Passed	Remaining
409	4910	7065
410	4919	7050
411	4929	7034
412	4937	7018
413	4947	7002
414	4955	6985
415	4965	6970
416	4976	6957
417	4986	6943
418	4996	6928
419	5007	6915
420	5016	6899
421	5026	6884
422	5034	6867
423	5043	6851
424	5054	6837
425	5064	6823
426	5073	6808
427	5082	6792
428	5091	6776
429	5101	6763
430	5111	6747
431	5120	6732
432	5129	6717
433	5138	6701
434	5147	6685
435	5157	6671
436	5166	6656
437	5176	6641
438	5185	6626
439	5195	6612
440	5204	6596
441	5213	6581
442	5221	6564
443	5229	6548
444	5238	6533
445	5249	6520
446	5258	6505
447	5268	6491
448	5279	6478
449	5306	6485
450	5329	6487
451	5344	6479
452	5355	6466
453	5366	6454
454	5377	6441
455	5389	6429
456	5399	6415
457	5410	6403
458	5420	6389
459	5432	6376
460	5443	6364
461	5454	6351
462	5465	6338
463	5475	6325
464	5485	6310
465	5495	6296
466	5505	6283
467	5514	6269
468	5524	6254
469	5533	6239
470	5543	6225
471	5552	6211
472	5561	6196
473	5572	6183
474	5583	6171
475	5592	6156
476	5602	6143
477	5612	6129
478	5621	6113
479	5631	6100
480	5642	6088
481	5652	6074
482	5662	6060
483	5672	6047
484	5682	6033
485	5693	6021
486	5703	6008
487	5714	5995
488	5723	5981
489	5732	5966
490	5741	5951
491	5751	5938
492	5758	5921
493	5768	5908
494	5778	5895
495	5787	5880
496	5797	5867
497	5807	5853
498	5816	5839
499	5825	5825
500	5836	5812
501	5843	5796
502	5850	5780
503	5859	5766
504	5869	5753
505	5879	5739
506	5888	5726
507	5898	5713
508	5907	5698
509	5916	5684
510	5925	5670
511	5934	5656
512	5943	5642
513	5951	5627
514	5962	5615
515	5973	5603
516	5982	5589
517	5991	5575
518	6001	5561
519	6011	5549
520	6020	5535
521	6031	5523
522	6041	5510
523	6051	5496
524	6061	5484
525	6072	5471
526	6082	5458
527	6093	5447
528	6103	5434
529	6111	5419
530	6121	5406
531	6131	5393
532	6141	5380
533	6152	5369
534	6163	5356
535	6172	5342
536	6181	5330
537	6191	5317
538	6199	5302
539	6209	5289
540	6217	5275
541	6224	5259
542	6232	5245
543	6243	5233
544	6253	5220
545	6263	5207
546	6272	5194
547	6282	5181
548	6291	5168
549	6303	5157
550	6314	5145
551	6325	5133
552	6335	5121
553	6346	5109
554	6356	5096
555	6368	5085
556	6380	5074
557	6391	5062
558	6403	5051
559	6416	5041
560	6427	5029
561	6436	5016
562	6446	5003
563	6455	4990
564	6463	4976
565	6473	4963
566	6480	4948
567	6487	4934
568	6496	4920
569	6504	4906
570	6513	4893
571	6523	4881
572	6534	4869
573	6544	4856
574	6554	4844
575	6564	4832
576	6574	4819
577	6584	4807
578	6594	4794
579	6603	4781
580	6609	4766
581	6619	4754
582	6630	4742
583	6639	4729
584	6649	4717
585	6660	4705
586	6675	4696
587	6685	4684
588	6694	4671
589	6704	4659
590	6714	4646
591	6723	4633
592	6733	4621
593	6743	4608
594	6752	4596
595	6762	4583
596	6770	4570
597	6781	4558
598	6790	4546
599	6801	4534
600	6811	4521
601	6819	4508
602	6831	4497
603	6844	4487
604	6855	4476
605	6864	4463
606	6875	4451
607	6884	4438
608	6894	4426
609	6902	4413
610	6912	4400
611	6922	4388
612	6933	4376
613	6941	4364
614	6951	4351
615	6961	4339
616	6971	4327
617	6981	4315
618	6990	4302
619	7000	4290
620	7009	4277
621	7018	4265
622	7029	4253
623	7038	4241
624	7048	4229
625	7058	4217
626	7068	4204
627	7077	4192
628	7087	4180
629	7096	4168
630	7105	4155
631	7115	4143
632	7123	4129
633	7132	4117
634	7143	4106
635	7154	4094
636	7164	4082
637	7173	4070
638	7183	4058
639	7191	4045
640	7200	4032
641	7209	4020
642	7218	4008
643	7228	3996
644	7238	3983
645	7248	3971
646	7257	3959
647	7267	3947
648	7277	3935
649	7286	3923
650	7296	3911
651	7305	3899
652	7314	3886
653	7323	3874
654	7332	3861
655	7341	3850
656	7352	3838
657	7362	3826
658	7371	3814
659	7381	3802
660	7392	3791
661	7403	3779
662	7414	3768
663	7424	3756
664	7433	3744
665	7443	3732
666	7451	3720
667	7459	3707
668	7468	3695
669	7477	3682
670	7488	3671
671	7497	3659
672	7506	3647
673	7514	3634
674	7524	3622
675	7534	3611
676	7544	3599
677	7553	3587
678	7562	3575
679	7572	3563
680	7581	3551
681	7590	3539
682	7599	3527
683	7609	3515
684	7617	3503
685	7626	3490
686	7635	3478
687	7644	3466
688	7654	3455
689	7663	3443
690	7672	3431
691	7681	3418
692	7687	3405
693	7695	3392
694	7704	3381
695	7713	3368
696	7721	3356
697	7730	3344
698	7738	3332
699	7749	3321
700	7760	3309
701	7770	3298
702	7781	3287
703	7791	3275
704	7799	3263
705	7809	3252
706	7818	3240
707	7827	3228
708	7837	3216
709	7847	3205
710	7856	3193
711	7867	3182
712	7877	3170
713	7886	3159
714	7895	3146
715	7903	3135
716	7913	3123
717	7921	3111
718	7930	3099
719	7938	3087
720	7947	3075
721	7957	3063
722	7967	3052
723	7978	3041
724	7986	3029
725	7996	3018
726	8005	3006
727	8014	2994
728	8024	2983
729	8034	2971
730	8043	2959
731	8052	2948
732	8062	2936
733	8072	2925
734	8082	2914
735	8090	2902
736	8111	2894
737	8121	2883
738	8130	2871
739	8139	2859
740	8150	2848
741	8158	2836
742	8168	2825
743	8178	2814
744	8194	2804
745	8209	2795
746	8239	2790
747	8266	2785
748	8295	2780
749	8321	2773
750	8332	2762
751	8345	2752
752	8365	2744
753	8374	2732
754	8384	2720
755	8395	2709
756	8406	2698
757	8431	2691
758	8442	2680
759	8453	2669
760	8466	2659
761	8479	2648
762	8489	2636
763	8499	2625
764	8509	2614
765	8535	2607
766	8554	2598
767	8574	2590
768	8580	2577
769	8587	2565
770	8596	2553
771	8604	2541
772	8612	2529
773	8618	2516
774	8625	2504
775	8634	2492
776	8646	2481
777	8654	2469
778	8663	2457
779	8672	2446
780	8681	2434
781	8690	2422
782	8698	2410
783	8706	2398
784	8718	2387
785	8730	2376
786	8744	2366
787	8756	2355
788	8766	2344
789	8775	2332
790	8784	2321
791	8793	2309
792	8805	2298
793	8814	2287
794	8823	2275
795	8832	2263
796	8840	2251
797	8848	2239
798	8855	2227
799	8862	2215
800	8869	2203
801	8877	2191
802	8884	2179
803	8892	2167
804	8898	2155
805	8905	2143
806	8911	2131
807	8918	2119
808	8925	2107
809	8943	2097
810	8950	2085
811	8960	2074
812	8972	2063
813	8983	2052
814	8993	2041
815	9002	2030
816	9010	2018
817	9050	2013
818	9082	2007
819	9098	1997
820	9234	2013
821	9250	2003
822	9307	2001
823	9326	1992
824	9345	1982
825	9392	1978
826	9406	1967
827	9414	1955
828	9429	1944
829	9439	1933
830	9447	1921
831	9453	1908
832	9458	1896
833	9465	1884
834	9471	1871
835	9477	1859
836	9483	1846
837	9489	1834
838	9495	1822
839	9500	1809
840	9506	1797
841	9512	1784
842	9517	1772
843	9524	1760
844	9530	1748
845	9535	1735
846	9540	1723
847	9545	1710
848	9550	1698
849	9556	1686
850	9561	1674
851	9566	1661
852	9571	1649
853	9576	1637
854	9581	1624
855	9586	1612
856	9591	1600
857	9597	1588
858	9603	1576
859	9608	1564
860	9614	1552
861	9619	1539
862	9624	1527
863	9629	1515
864	9634	1503
865	9639	1491
866	9644	1479
867	9649	1467
868	9654	1455
869	9659	1443
870	9666	1431
871	9671	1419
872	9676	1407
873	9681	1395
874	9686	1383
875	9691	1371
876	9696	1359
877	9700	1347
878	9706	1336
879	9712	1324
880	9717	1312
881	9724	1300
882	9730	1289
883	9735	1277
884	9741	1265
885	9747	1254
886	9754	1242
887	9760	1230
888	9766	1219
889	9772	1207
890	9777	1196
891	9783	1184
892	9789	1172
893	9794	1161
894	9800	1149
895	9805	1138
896	9812	1126
897	9818	1115
898	9824	1103
899	9830	1092
900	9836	1080
901	9840	1069
902	9845	1057
903	9850	1046
904	9855	1034
905	9861	1023
906	9866	1011
907	9872	1000
908	9877	988
909	9883	977
910	9888	966
911	9894	954
912	9899	943
913	9905	931
914	9910	920
915	9915	909
916	9921	898
917	9927	886
918	9933	875
919	9938	864
920	9944	853
921	9949	841
922	9954	830
923	9959	819
924	9965	807
925	9970	796
926	9976	785
927	9981	774
928	9986	763
929	9991	752
930	9996	740
931	10001	729
932	10006	718
933	10012	707
934	10017	696
935	10022	685
936	10027	674
937	10032	663
938	10036	652
939	10056	641
940	10061	630
941	10066	619
942	10072	608
943	10078	597
944	10083	586
945	10088	575
946	10094	564
947	10099	553
948	10104	543
949	10109	532
950	10114	521
951	10119	510
952	10124	499
953	10129	488
954	10135	477
955	10140	466
956	10146	455
957	10152	445
958	10158	434
959	10162	423
960	10167	412
961	10172	401
962	10177	391
963	10182	380
964	10187	369
965	10192	358
966	10197	348
967	10203	337
968	10208	326
969	10213	315
970	10218	305
971	10223	294
972	10228	283
973	10233	273
974	10238	262
975	10243	251
976	10248	241
977	10264	230
978	10269	220
979	10274	209
980	10279	199
981	10285	188
982	10290	177
983	10295	167
984	10300	156
985	10304	146
986	10309	135
987	10315	125
988	10320	114
989	10326	104
990	10331	93
991	10336	83
992	10341	72
993	10347	62
994	10352	52
995	10357	41
996	10362	31
997	10368	20
998	10372	10
999	10377	0
